date,region,Total number of banking system institutions,institutions of the Bank of Russia,credit institutions,branches of credit organizations,additional offices,Number of bank institutions per 1 million inhabitants
01.04.2009,Курская область,311,4,2,22,147,269
01.04.2009,Ленинградская область,368,4,4,36,263,226
01.04.2009,Липецкая область,319,4,2,26,116,274
01.04.2009,Магаданская область,68,6,2,14,31,417
01.04.2009,г. Москва и Московская область,6 484,17,553,279,3 778,377
01.04.2009,Мурманская область,230,3,4,26,151,273
01.04.2009,Нижегородская область,1 192,17,17,117,421,357
01.04.2009,Новгородская область,182,3,2,17,129,282
01.04.2009,Новосибирская область,779,10,13,68,444,295
01.04.2009,Омская область,707,9,7,49,198,351
01.04.2009,Оренбургская область,852,15,9,52,268,403
01.04.2009,Орловская область,233,4,2,21,80,285
01.04.2009,Пензенская область,606,6,2,34,147,439
01.04.2009,Пермский край,824,11,6,77,389,304
01.04.2009,Приморский край,496,15,8,45,346,249
01.04.2009,Псковская область,185,4,3,12,121,266
01.04.2009,Республика Адыгея (Адыгея),95,2,5,6,75,215
01.04.2009,Республика Алтай,62,7,5,4,32,296
01.04.2009,Республика Башкортостан,1 269,10,10,63,631,313
01.04.2009,Республика Бурятия,279,13,1,21,204,290
01.04.2009,Республика Дагестан,251,9,32,71,128,93
01.04.2009,Республика Ингушетия,21,2,2,4,13,41
01.04.2009,Республика Калмыкия,49,1,2,3,38,173
01.04.2009,Республика Карелия,186,12,1,22,108,271
01.04.2009,Республика Коми,299,14,3,40,128,312
01.04.2009,Республика Марий Эл,165,6,1,20,50,236
01.04.2009,Республика Мордовия,315,2,4,15,123,378
01.04.2009,Республика Саха (Якутия),338,20,5,47,125,356
01.04.2009,Республика Северная Осетия-Алания,86,3,6,14,51,123
01.04.2009,Республика Татарстан (Татарстан),1 703,14,26,96,550,452
01.04.2009,Республика Тыва,53,3,2,4,39,169
01.04.2009,Республика Хакасия,179,4,3,8,93,333
01.04.2009,Ростовская область,1 283,14,22,108,888,302
01.04.2009,Рязанская область,297,4,4,28,118,257
01.04.2009,Самарская область,987,9,20,95,437,311
01.04.2009,г. Санкт-Петербург,1 564,3,41,149,1 038,341
01.04.2009,Саратовская область,991,12,12,72,237,385
01.04.2009,Сахалинская область,148,11,5,14,75,288
01.04.2009,Свердловская область,1 145,13,23,95,720,261
01.04.2009,Смоленская область,254,6,4,29,105,261
01.04.2009,Ставропольский край,605,9,8,62,427,223
01.04.2009,Тамбовская область,332,3,1,20,94,303
01.04.2009,Тверская область,369,13,8,36,124,269
01.04.2009,Томская область,289,9,4,36,156,278
01.04.2009,Тульская область,370,6,5,36,193,238
01.04.2009,Тюменская область,1 341,22,18,149,542,395
01.04.2009,Удмуртская Республика,394,6,8,33,205,258
01.04.2009,Ульяновская область,437,4,4,31,190,335
01.04.2009,Хабаровский край,351,4,5,34,248,250
01.04.2009,Челябинская область,863,10,11,109,456,246
01.04.2009,Чеченская Республика,2,0,0,2,0,2
01.04.2009,Читинская область,312,17,1,19,247,279
01.04.2009,Чувашская Республика - Чувашия,356,3,5,26,100,278
01.04.2009,Чукотский авт. округ,35,8,0,7,11,707
01.04.2009,Ярославская область,387,5,8,40,191,295
01.01.2009,Алтайский край,992,13,8,56,314,395
01.01.2009,Амурская область,242,4,5,16,166,278
01.01.2009,Архангельская область,312,14,3,33,151,245
01.01.2009,Астраханская область,274,4,5,30,112,274
01.01.2009,Белгородская область,470,5,6,33,139,309
01.01.2009,Брянская область,310,4,1,30,80,237
01.01.2009,Владимирская область,423,7,2,30,162,292
01.01.2009,Волгоградская область,726,9,5,74,263,278
01.01.2009,Вологодская область,408,7,9,32,188,334
01.01.2009,Воронежская область,669,6,5,58,207,293
01.01.2009,Еврейская авт. область,47,2,0,6,17,253
01.01.2009,Ивановская область,274,4,6,20,127,254
01.01.2009,Иркутская область,622,17,9,53,441,248
01.01.2009,Кабардино-Балкарская Республика,156,3,6,12,72,175
01.01.2009,Калининградская область,292,2,8,37,151,311
01.01.2009,Калужская область,290,3,5,29,139,288
01.01.2009,Камчатский край,122,13,6,12,72,353
01.01.2009,Карачаево-Черкесская Республика,49,2,5,4,36,115
01.01.2009,Кемеровская область,589,8,8,40,330,209
01.01.2009,Кировская область,442,8,3,29,168,313
01.01.2009,Костромская область,235,6,4,15,107,337
01.01.2009,Краснодарский край,1 502,20,16,110,1 103,293
01.01.2009,Красноярский край,930,22,6,71,489,322
01.01.2009,Курганская область,314,4,4,23,76,327
01.01.2009,Курская область,313,4,2,22,147,269
01.01.2009,Ленинградская область,385,4,4,37,259,236
01.01.2009,Липецкая область,322,4,2,27,114,275
01.01.2009,Магаданская область,67,6,2,14,31,404
01.01.2009,г. Москва и Московская область,6 525,17,556,283,3 794,381
01.01.2009,Мурманская область,228,3,4,25,150,268
01.01.2009,Нижегородская область,1 200,17,18,117,416,357
01.01.2009,Новгородская область,182,3,2,17,124,279
01.01.2009,Новосибирская область,798,10,13,65,448,303
01.01.2009,Омская область,727,9,7,49,199,360
01.01.2009,Оренбургская область,856,15,9,57,266,404
01.01.2009,Орловская область,245,4,2,22,80,298
01.01.2009,Пензенская область,607,6,2,34,147,437
01.01.2009,Пермский край,827,11,8,76,336,304
01.01.2009,Приморский край,500,15,8,45,347,251
01.01.2009,Псковская область,190,4,3,13,120,269
01.01.2009,Республика Адыгея (Адыгея),95,2,5,6,73,215
01.01.2009,Республика Алтай,62,7,5,4,32,299
01.01.2009,Республика Башкортостан,1 284,10,11,67,631,317
01.01.2009,Республика Бурятия,281,13,1,21,206,293
01.01.2009,Республика Дагестан,245,9,32,70,125,91
01.01.2009,Республика Ингушетия,20,2,2,4,12,40
01.01.2009,Республика Калмыкия,50,1,2,4,38,175
01.01.2009,Республика Карелия,187,12,1,22,108,271
01.01.2009,Республика Коми,301,14,3,41,104,311
01.01.2009,Республика Марий Эл,163,6,1,20,50,232
01.01.2009,Республика Мордовия,316,2,4,16,121,376
01.01.2009,Республика Саха (Якутия),336,20,5,47,116,353
01.01.2009,Республика Северная Осетия-Алания,83,3,6,15,47,118
01.01.2009,Республика Татарстан (Татарстан),1 706,14,26,95,538,453
01.01.2009,Республика Тыва,53,3,2,4,39,170
01.01.2009,Республика Хакасия,181,4,3,8,89,337
01.01.2009,Ростовская область,1 297,14,23,110,889,305
01.01.2009,Рязанская область,300,4,4,28,118,258
01.01.2009,Самарская область,1 004,9,20,99,435,316
01.01.2009,г. Санкт-Петербург,1 581,3,42,150,1 043,346
01.01.2009,Саратовская область,997,12,12,73,236,386
01.01.2009,Сахалинская область,145,11,5,14,76,280
01.01.2009,Свердловская область,1 187,13,24,106,734,270
01.01.2009,Смоленская область,254,6,4,30,104,258
01.01.2009,Ставропольский край,598,9,8,62,423,221
01.01.2009,Тамбовская область,331,3,1,20,92,299
01.01.2009,Тверская область,368,13,8,36,123,267
01.01.2009,Томская область,295,9,4,37,157,285
01.01.2009,Тульская область,376,6,5,36,195,240
01.01.2009,Тюменская область,1 366,22,19,151,541,405
01.01.2009,Удмуртская Республика,405,6,8,33,217,264
01.01.2009,Ульяновская область,439,4,4,32,192,335
01.01.2009,Хабаровский край,353,4,5,34,250,251
01.01.2009,Челябинская область,865,10,11,119,472,246
01.01.2009,Чеченская Республика,2,0,0,2,0,2
01.01.2009,Читинская область,321,17,2,23,250,287
01.01.2009,Чувашская Республика - Чувашия,357,3,5,26,101,278
01.01.2009,Чукотский авт. округ,35,8,0,7,11,696
01.01.2009,Ярославская область,393,5,8,42,196,299
01.10.2010,Алтайский край,927,13,7,52,288,372
01.10.2010,Амурская область,236,4,3,12,168,274
01.10.2010,Архангельская область,318,14,2,31,162,253
01.10.2010,Астраханская область,270,4,5,25,123,268
01.10.2010,Белгородская область,476,4,5,28,141,311
01.10.2010,Брянская область,315,4,1,24,88,244
01.10.2010,Владимирская область,426,7,3,24,179,298
01.10.2010,Волгоградская область,711,9,4,59,267,275
01.10.2010,Вологодская область,406,7,9,21,285,335
01.10.2010,Воронежская область,686,6,2,54,234,303
01.10.2010,Еврейская автономная область,48,2,0,6,18,259
01.10.2010,Забайкальский край,286,17,0,16,227,256
